track_id,entry_time,exit_time,duration_seconds
312,2025-12-17 10:47:00,2025-12-17 10:49:04,123.63
314,2025-12-17 10:48:38,2025-12-17 10:50:38,119.73
315,2025-12-17 10:49:11,2025-12-17 10:50:47,96.74
313,2025-12-17 10:47:28,2025-12-17 10:50:50,201.96
316,2025-12-17 10:49:40,2025-12-17 10:50:52,72.16
311,2025-12-17 10:46:39,2025-12-17 10:51:14,274.79
308,2025-12-17 10:41:54,2025-12-17 10:54:55,780.4
320,2025-12-17 10:53:55,2025-12-17 10:55:12,77.12
318,2025-12-17 10:51:54,2025-12-17 10:55:41,227.06
322,2025-12-17 10:54:22,2025-12-17 14:26:13,12711.17
321,2025-12-17 10:53:55,2025-12-17 14:26:21,12746.56
323,2025-12-17 14:26:03,2025-12-17 14:26:23,20.46
325,2025-12-17 14:26:39,2025-12-17 14:27:02,22.82
324,2025-12-17 14:26:25,2025-12-17 14:27:14,48.8
326,2025-12-17 14:26:42,2025-12-17 14:27:17,34.55
319,2025-12-17 10:52:23,2025-12-17 14:27:20,12897.44
327,2025-12-17 14:26:51,2025-12-17 14:27:23,31.71
330,2025-12-17 14:27:45,2025-12-17 14:28:20,34.83
331,2025-12-17 14:28:07,2025-12-17 14:28:26,19.33
317,2025-12-17 10:51:30,2025-12-17 14:28:55,13045.3
334,2025-12-17 14:28:58,2025-12-17 14:29:21,23.31
337,2025-12-17 14:29:05,2025-12-17 14:29:23,17.76
336,2025-12-17 14:29:01,2025-12-17 14:29:25,24.08
328,2025-12-17 14:27:33,2025-12-17 14:29:26,112.81
339,2025-12-17 14:29:11,2025-12-17 14:29:31,19.73
338,2025-12-17 14:29:06,2025-12-17 14:29:33,26.65
332,2025-12-17 14:28:35,2025-12-17 14:29:33,58.64
329,2025-12-17 14:27:33,2025-12-17 14:29:38,125.17
333,2025-12-17 14:28:58,2025-12-17 14:30:08,70.14
335,2025-12-17 14:28:59,2025-12-17 14:30:52,113.03
341,2025-12-17 14:30:16,2025-12-17 14:31:25,69.57
340,2025-12-17 14:29:11,2025-12-17 14:31:33,141.99
343,2025-12-17 14:31:03,2025-12-17 14:31:37,34.47
344,2025-12-17 14:31:39,2025-12-17 14:32:05,26.39
348,2025-12-17 14:33:06,2025-12-17 14:33:33,27.01
345,2025-12-17 14:32:24,2025-12-17 14:33:39,74.82
346,2025-12-17 14:32:25,2025-12-17 14:33:40,74.73
342,2025-12-17 14:30:57,2025-12-17 14:34:13,196.37
350,2025-12-17 14:34:01,2025-12-17 14:34:23,22.79
351,2025-12-17 14:34:43,2025-12-17 14:35:00,17.58
347,2025-12-17 14:32:34,2025-12-17 14:35:25,170.25
349,2025-12-17 14:33:24,2025-12-17 14:35:49,145.35
353,2025-12-17 14:36:01,2025-12-17 14:36:21,20.38
352,2025-12-17 14:35:30,2025-12-17 14:36:45,74.26
354,2025-12-17 14:36:05,2025-12-17 14:37:14,68.72
358,2025-12-17 14:38:06,2025-12-17 14:38:24,17.58
355,2025-12-17 14:37:24,2025-12-17 14:38:25,61.26
356,2025-12-17 14:37:44,2025-12-17 14:38:29,45.21
359,2025-12-17 14:38:29,2025-12-17 14:38:47,18.24
357,2025-12-17 14:38:06,2025-12-17 14:38:49,43.12
360,2025-12-17 14:38:58,2025-12-17 14:39:57,58.46
362,2025-12-17 14:40:15,2025-12-17 14:40:36,21.45
364,2025-12-17 14:40:27,2025-12-17 14:40:49,22.52
365,2025-12-17 14:40:43,2025-12-17 14:41:13,29.92
368,2025-12-17 14:41:06,2025-12-17 14:41:45,38.99
369,2025-12-17 14:41:18,2025-12-17 14:41:48,30.46
370,2025-12-17 14:41:27,2025-12-17 14:41:48,21.1
366,2025-12-17 14:40:52,2025-12-17 14:41:56,64.32
367,2025-12-17 14:41:05,2025-12-17 14:42:06,60.49
361,2025-12-17 14:39:04,2025-12-17 14:42:17,193.25
375,2025-12-17 14:42:08,2025-12-17 14:42:26,17.77
376,2025-12-17 14:42:27,2025-12-17 14:42:45,17.84
374,2025-12-17 14:42:03,2025-12-17 14:43:00,57.61
379,2025-12-17 14:42:54,2025-12-17 14:43:12,17.74
371,2025-12-17 14:41:34,2025-12-17 14:43:18,104.5
378,2025-12-17 14:42:35,2025-12-17 14:43:21,46.04
363,2025-12-17 14:40:17,2025-12-17 14:43:26,189.29
377,2025-12-17 14:42:34,2025-12-17 14:43:26,51.83
372,2025-12-17 14:41:40,2025-12-17 14:43:52,131.95
373,2025-12-17 14:41:57,2025-12-17 14:44:06,128.96
384,2025-12-17 14:44:21,2025-12-17 14:44:39,17.77
380,2025-12-17 14:43:25,2025-12-17 14:44:52,86.98
383,2025-12-17 14:44:11,2025-12-17 14:44:57,45.86
385,2025-12-17 14:44:35,2025-12-17 14:45:09,33.88
381,2025-12-17 14:43:34,2025-12-17 14:45:36,122.04
387,2025-12-17 14:45:20,2025-12-17 14:45:47,27.42
388,2025-12-17 14:45:27,2025-12-17 14:45:53,25.9
392,2025-12-17 14:45:51,2025-12-17 14:46:09,17.74
390,2025-12-17 14:45:29,2025-12-17 14:46:10,40.26
389,2025-12-17 14:45:28,2025-12-17 14:46:11,43.21
393,2025-12-17 14:46:19,2025-12-17 14:46:43,24.25
391,2025-12-17 14:45:47,2025-12-17 14:46:48,60.97
395,2025-12-17 14:47:07,2025-12-17 14:47:27,20.06
399,2025-12-17 14:47:51,2025-12-17 14:48:09,18.38
396,2025-12-17 14:47:26,2025-12-17 14:48:15,48.38
386,2025-12-17 14:44:57,2025-12-17 14:48:16,199.52
394,2025-12-17 14:47:04,2025-12-17 14:48:26,81.59
400,2025-12-17 14:47:58,2025-12-17 14:48:32,33.52
402,2025-12-17 14:48:03,2025-12-17 14:48:37,33.42
398,2025-12-17 14:47:45,2025-12-17 14:48:47,62.49
405,2025-12-17 14:48:59,2025-12-17 14:49:20,20.96
403,2025-12-17 14:48:47,2025-12-17 14:49:35,48.22
408,2025-12-17 14:49:22,2025-12-17 14:49:47,25.01
407,2025-12-17 14:49:10,2025-12-17 14:49:52,42.37
404,2025-12-17 14:48:54,2025-12-17 14:50:04,69.32
409,2025-12-17 14:49:53,2025-12-17 14:50:11,17.93
382,2025-12-17 14:43:57,2025-12-17 14:50:39,401.36
406,2025-12-17 14:49:08,2025-12-17 14:50:39,91.4
411,2025-12-17 14:50:17,2025-12-17 14:50:39,22.34
412,2025-12-17 14:50:28,2025-12-17 14:50:46,18.09
415,2025-12-17 14:50:58,2025-12-17 14:51:19,20.49
401,2025-12-17 14:48:02,2025-12-17 14:51:20,198.48
417,2025-12-17 14:51:14,2025-12-17 14:51:32,17.98
418,2025-12-17 14:51:14,2025-12-17 14:51:40,25.47
410,2025-12-17 14:50:01,2025-12-17 14:51:55,114.03
419,2025-12-17 14:51:39,2025-12-17 14:51:57,17.95
397,2025-12-17 14:47:28,2025-12-17 14:51:59,270.7
420,2025-12-17 14:51:49,2025-12-17 14:52:22,33.24
421,2025-12-17 14:51:54,2025-12-17 14:52:43,48.99
425,2025-12-17 14:52:32,2025-12-17 14:52:53,21.17
416,2025-12-17 14:51:12,2025-12-17 14:53:08,116.33
426,2025-12-17 14:53:04,2025-12-17 14:53:23,19.01
423,2025-12-17 14:52:22,2025-12-17 14:53:30,68.52
427,2025-12-17 14:53:15,2025-12-17 14:53:33,18.33
428,2025-12-17 14:53:16,2025-12-17 14:53:34,18.41
429,2025-12-17 14:53:17,2025-12-17 14:53:35,18.53
414,2025-12-17 14:50:51,2025-12-17 14:53:55,184.21
432,2025-12-17 14:53:39,2025-12-17 14:54:05,25.77
431,2025-12-17 14:53:36,2025-12-17 14:54:26,49.75
422,2025-12-17 14:52:00,2025-12-17 14:54:38,158.55
434,2025-12-17 14:54:04,2025-12-17 14:54:46,41.99
436,2025-12-17 14:54:11,2025-12-17 14:54:51,40.28
439,2025-12-17 14:54:34,2025-12-17 14:54:53,18.63
435,2025-12-17 14:54:08,2025-12-17 14:55:01,53.18
440,2025-12-17 14:54:40,2025-12-17 14:55:03,23.44
441,2025-12-17 14:54:45,2025-12-17 14:55:05,20.1
442,2025-12-17 14:54:48,2025-12-17 14:55:09,20.79
438,2025-12-17 14:54:27,2025-12-17 14:55:11,43.61
437,2025-12-17 14:54:16,2025-12-17 14:55:18,62.18
443,2025-12-17 14:54:58,2025-12-17 14:55:23,25.04
424,2025-12-17 14:52:31,2025-12-17 14:55:43,192.65
446,2025-12-17 14:55:46,2025-12-17 14:56:04,17.78
430,2025-12-17 14:53:24,2025-12-17 14:56:11,167.76
444,2025-12-17 14:55:08,2025-12-17 14:56:28,80.05
450,2025-12-17 14:56:08,2025-12-17 14:56:30,21.81
413,2025-12-17 14:50:44,2025-12-17 14:56:49,365.17
433,2025-12-17 14:54:03,2025-12-17 14:56:49,166.03
452,2025-12-17 14:56:33,2025-12-17 14:56:55,22.12
455,2025-12-17 14:56:46,2025-12-17 14:57:05,18.09
456,2025-12-17 14:56:51,2025-12-17 14:57:09,17.93
449,2025-12-17 14:56:07,2025-12-17 14:57:09,62.49
